seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
5,3792,ChevronSlow,persistent_shift,shift_adaptation_350,0.984375,0.12212562561035156,1.0,0.9941700133001777,0.7040137682457868,0.9766145848810149,0.3259780604038898,0.1665717684387876,0.3195322509755941,0.16556834546873142
5,3792,IDLGated,persistent_shift,shift_adaptation_350,0.90625,0.17357084155082703,1.0,0.903963166563458,0.9123187110034874,1.1154554989397452,0.6507256303629603,0.11002288846916684,0.4238544221369711,0.2724508609872915
5,3793,MLP,persistent_shift,shift_adaptation_350,0.921875,0.2268574833869934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3793,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.18328553438186646,1.0,0.9019790891030701,0.7035582589287589,0.9736291650498972,0.32655406143258897,0.16643973014679717,0.3196723805921575,0.16601408378947446
5,3793,IDLGated,persistent_shift,shift_adaptation_350,0.875,0.23096024990081787,1.0,0.8575614032613353,0.9086538194672735,1.1051397351126089,0.6509324661358586,0.1092198689451983,0.4244443843014218,0.2733779470209642
5,3794,MLP,persistent_shift,shift_adaptation_350,0.90625,0.15605968236923218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3794,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.13153176009655,1.0,0.8587534396294393,0.7030653758591071,0.9690341360330789,0.3270862608107858,0.16637039029959566,0.3198189688826585,0.16647701519508967
5,3794,IDLGated,persistent_shift,shift_adaptation_350,0.953125,0.13982194662094116,1.0,0.7845971271100166,0.9049146041115007,1.0923180307925051,0.6510661307968327,0.1084361594940451,0.42502781029038256,0.2742989267589712
5,3795,MLP,persistent_shift,shift_adaptation_350,0.90625,0.2197268307209015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3795,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.15211166441440582,1.0,0.9687292673987982,0.7025712051519969,0.9690219412877077,0.3277279038173738,0.16620557884657042,0.31996596895636165,0.16695790634010352
5,3795,IDLGated,persistent_shift,shift_adaptation_350,0.90625,0.20234419405460358,1.0,0.9885945894553333,0.9011694107496769,1.0881690931390182,0.6514036592554913,0.10762543304172,0.42561730329532577,0.27522415254306604
5,3796,MLP,persistent_shift,shift_adaptation_350,0.90625,0.28441116213798523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3796,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.23884247243404388,1.0,0.8810070776141495,0.7020483968207777,0.9655013467407654,0.3282811829911706,0.16607876936277824,0.32011040532976365,0.16743856855223252
5,3796,IDLGated,persistent_shift,shift_adaptation_350,0.84375,0.29811346530914307,1.0,0.8305023792294457,0.8973702927965369,1.0778624245826354,0.6515827579754652,0.1068141861834076,0.42619435946090833,0.2760992630237636
5,3797,MLP,persistent_shift,shift_adaptation_350,0.9375,0.21338015794754028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3797,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.1422896832227707,1.0,0.9111791235370453,0.7015077246612587,0.9633284578126166,0.3288640809317165,0.1660788105557516,0.3202508459315181,0.16792207568159329
5,3797,IDLGated,persistent_shift,shift_adaptation_350,0.859375,0.20366594195365906,1.0,0.9121366695531655,0.89354645111412,1.0712333943814565,0.6518433118870428,0.1060981201315418,0.42677985591609247,0.2769882165250189
5,3798,MLP,persistent_shift,shift_adaptation_350,0.96875,0.14831849932670593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3798,ChevronSlow,persistent_shift,shift_adaptation_350,0.984375,0.10936037451028824,1.0,0.8931061310476609,0.70094439279805,0.9605195647420183,0.32942832298183244,0.16612038553411557,0.3204005005343529,0.16842088219272436
5,3798,IDLGated,persistent_shift,shift_adaptation_350,0.953125,0.1250792294740677,1.0,0.7943966818979166,0.8896634719902075,1.0601599258821148,0.6519858652570537,0.1054003369120568,0.4273623603234686,0.27789767484361444
5,3799,MLP,persistent_shift,shift_adaptation_350,0.921875,0.1792612373828888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3799,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.15411177277565002,1.0,0.8169875663632812,0.7003357368763188,0.9547782848068688,0.3299158822252139,0.16605164569085973,0.32055903183958423,0.16892957983078916
5,3799,IDLGated,persistent_shift,shift_adaptation_350,0.921875,0.18606093525886536,1.0,0.8058078469076623,0.8857289334581613,1.0499858427231368,0.6521396872387043,0.10466308269785823,0.42794159075004284,0.2788139422706602
5,3800,MLP,persistent_shift,shift_adaptation_350,0.875,0.2208004891872406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3800,ChevronSlow,persistent_shift,shift_adaptation_350,0.921875,0.17593516409397125,1.0,0.8754744442380451,0.6997022085044833,0.9516061311841157,0.3304614407872267,0.16586116907694168,0.32072176805280034,0.1694413611642712
5,3800,IDLGated,persistent_shift,shift_adaptation_350,0.9375,0.20290660858154297,1.0,0.8923626213439707,0.8817735100200573,1.0436809138679701,0.6523799101728096,0.10391189820409165,0.4285178925439018,0.2797257018579683
5,3801,MLP,persistent_shift,shift_adaptation_350,0.921875,0.2027396410703659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3801,ChevronSlow,persistent_shift,shift_adaptation_350,0.9375,0.1954677700996399,1.0,0.8121159279015141,0.6990252582586751,0.9460265230528118,0.330943095274341,0.16568811353691115,0.3208987655587805,0.16995235008725293
5,3801,IDLGated,persistent_shift,shift_adaptation_350,0.953125,0.20688623189926147,1.0,0.8432351448306297,0.8777840604814889,1.0356630831064764,0.6525707654074674,0.10316914013907827,0.42908723417764405,0.2806550246645915
5,3802,MLP,persistent_shift,shift_adaptation_350,0.875,0.2358323186635971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3802,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.18761177361011505,1.0,0.9148389495438028,0.6983390724244765,0.9447790201124514,0.3315269911286105,0.16544626606075838,0.3210713358048785,0.1704505533514057
5,3802,IDLGated,persistent_shift,shift_adaptation_350,0.875,0.2641657590866089,1.0,0.8227958871708329,0.8737570472355556,1.0271483952690506,0.6527409905292307,0.10249935715001184,0.4296612860058449,0.28153631959851433
5,3803,MLP,persistent_shift,shift_adaptation_350,0.90625,0.2766415476799011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3803,ChevronSlow,persistent_shift,shift_adaptation_350,0.9375,0.24267815053462982,1.0,0.8875514397832525,0.6976356150556569,0.9424899168992835,0.33208301557726516,0.16537328294194847,0.3212419903856202,0.1709473607020661
5,3803,IDLGated,persistent_shift,shift_adaptation_350,0.890625,0.27944880723953247,1.0,0.8571575972371391,0.8697062177073659,1.0203487633477741,0.6529454071359386,0.10185067274480304,0.43022029866779327,0.28238712146777933
5,3804,MLP,persistent_shift,shift_adaptation_350,0.953125,0.22585433721542358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3804,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.1996261179447174,1.0,0.9103774852062327,0.6969228830118889,0.9412054196315616,0.33266131004689414,0.16533188423023912,0.3214050449070734,0.1714484824928965
5,3804,IDLGated,persistent_shift,shift_adaptation_350,0.90625,0.23438827693462372,1.0,0.7713939012122054,0.8656071816715657,1.0103905688623513,0.6530638556300149,0.10121734542836744,0.43076928578213325,0.28318812806603877
5,3805,MLP,persistent_shift,shift_adaptation_350,0.9375,0.1790214329957962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3805,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.13004440069198608,1.0,0.9114828170727509,0.696201711019596,0.9400165155292091,0.33324013155392,0.16518322516562228,0.3215673019175932,0.17194523936554
5,3805,IDLGated,persistent_shift,shift_adaptation_350,0.921875,0.1380995512008667,1.0,0.8501023110929777,0.861488069373922,1.0039790385515763,0.6532608940854778,0.10056971478824749,0.43132422316530045,0.2839848614316592
5,3806,MLP,persistent_shift,shift_adaptation_350,0.96875,0.14425133168697357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3806,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.12622450292110443,1.0,0.9283086803834748,0.6954778013476043,0.9395482021233796,0.33383520010274953,0.16504466263563586,0.3217397857550216,0.17245684635227454
5,3806,IDLGated,persistent_shift,shift_adaptation_350,0.96875,0.15127074718475342,1.0,0.868025057342262,0.8573566865873664,0.9985408793032037,0.6534756582487347,0.09993652206272745,0.4318729982355706,0.2847862939416078
5,3807,MLP,persistent_shift,shift_adaptation_350,0.9375,0.22022907435894012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3807,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.18517453968524933,1.0,0.9759430464737434,0.6947661924404097,0.9410039958973941,0.3344773079491205,0.16476595067264543,0.321901789026244,0.17297620305184988
5,3807,IDLGated,persistent_shift,shift_adaptation_350,0.90625,0.2667072117328644,1.0,0.7910172654850799,0.8531908469738235,0.9902399347504787,0.653613199855971,0.09929471702726532,0.4324166976293393,0.2856166559036261
5,3808,MLP,persistent_shift,shift_adaptation_350,0.984375,0.18242453038692474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3808,ChevronSlow,persistent_shift,shift_adaptation_350,0.984375,0.1617196649312973,1.0,0.9095576600242556,0.6940456129341767,0.9397461424624687,0.33505238830119566,0.16442266951888884,0.32206121273764843,0.1734920334274185
5,3808,IDLGated,persistent_shift,shift_adaptation_350,0.9375,0.18488791584968567,1.0,0.841991808586847,0.8490093876479468,0.9843100097039333,0.6538015784647018,0.09866438754927263,0.4329565034463517,0.2864305669753842
5,3809,MLP,persistent_shift,shift_adaptation_350,0.953125,0.18925023078918457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3809,ChevronSlow,persistent_shift,shift_adaptation_350,0.984375,0.14996160566806793,1.0,0.8872301513463473,0.6933095755247319,0.9376455028178239,0.33560456606424083,0.16401903530976653,0.32221495236315617,0.17398315225023375
5,3809,IDLGated,persistent_shift,shift_adaptation_350,0.9375,0.1658753752708435,1.0,0.8048850197871252,0.844802755332373,0.9771330101072611,0.6539526619060242,0.09804986469916949,0.43348740528634405,0.2872414858763085
5,3810,MLP,persistent_shift,shift_adaptation_350,0.921875,0.17228712141513824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3810,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.12043800950050354,1.0,0.8808095264585789,0.6925568772624446,0.935372063763454,0.33614977102463517,0.1636579440553743,0.3223739835245486,0.17448632969970748
5,3810,IDLGated,persistent_shift,shift_adaptation_350,0.921875,0.16573914885520935,1.0,0.8295475197242255,0.8405811439595389,0.9712295904919397,0.6541282567638423,0.09742937351917667,0.4340338236118454,0.28806101832213626
5,3811,MLP,persistent_shift,shift_adaptation_350,0.953125,0.25846773386001587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3811,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.26231902837753296,1.0,1.0059639240618357,0.6918274314683268,0.9381957381753894,0.33681958517767235,0.16339311283410424,0.3225399782816856,0.1749757759731075
5,3811,IDLGated,persistent_shift,shift_adaptation_350,0.921875,0.2947385609149933,1.0,0.7722565263172007,0.8363286890709949,0.9632706679249502,0.6542463850333957,0.09683494981131488,0.4345677920978005,0.28885440997927386
5,3812,MLP,persistent_shift,shift_adaptation_350,0.890625,0.2735794186592102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3812,ChevronSlow,persistent_shift,shift_adaptation_350,0.921875,0.2719689607620239,1.0,0.8931958923029617,0.6910849702794257,0.9363957443404922,0.33737596148479765,0.16313476293058848,0.3226963391520541,0.17546356844591834
5,3812,IDLGated,persistent_shift,shift_adaptation_350,0.890625,0.29601162672042847,1.0,0.8290775154211417,0.832065913363715,0.9579029418247978,0.6544212161637835,0.09627433908809675,0.4350792177261336,0.28962186622986724
5,3813,MLP,persistent_shift,shift_adaptation_350,0.96875,0.1861458569765091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3813,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.15653540194034576,1.0,0.8552136669559203,0.6903183278136291,0.9331484612451093,0.33789379919026874,0.16287720452042656,0.3228524378223144,0.17596259034817358
5,3813,IDLGated,persistent_shift,shift_adaptation_350,0.90625,0.19876109063625336,1.0,0.8228990577371494,0.8277926907964528,0.9525027864612919,0.6545896940053568,0.0957072602824137,0.4355731054538331,0.29033645851768275
5,3814,MLP,persistent_shift,shift_adaptation_350,0.90625,0.2415427714586258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3814,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.20905737578868866,1.0,0.8766452397445185,0.6895354274451542,0.9308883323850857,0.338432550630823,0.16263458434675393,0.3230028186873035,0.17644242819559888
5,3814,IDLGated,persistent_shift,shift_adaptation_350,0.875,0.25451409816741943,1.0,0.8056622739411078,0.8235054564650827,0.9466291659604845,0.6547407665852926,0.09508592588373187,0.4360318923791732,0.29104822446812606
5,3815,MLP,persistent_shift,shift_adaptation_350,0.96875,0.18707439303398132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3815,ChevronSlow,persistent_shift,shift_adaptation_350,0.984375,0.1784997582435608,1.0,0.9629680912312836,0.688764059518133,0.9321715227389337,0.3390570861714235,0.16234495055374593,0.32315534822154646,0.17691984325927684
5,3815,IDLGated,persistent_shift,shift_adaptation_350,0.921875,0.2219742089509964,1.0,0.7684182082783673,0.8191945830823717,0.9395007276531998,0.6548544440269856,0.09438130028197507,0.43648372706063904,0.29172001177732715
5,3816,MLP,persistent_shift,shift_adaptation_350,0.96875,0.1601594239473343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3816,ChevronSlow,persistent_shift,shift_adaptation_350,0.984375,0.1636468768119812,1.0,0.9968467740475332,0.6880142962974438,0.9347585327912776,0.3397148758592996,0.16200990056911518,0.323307975077791,0.17739250260358908
5,3816,IDLGated,persistent_shift,shift_adaptation_350,0.953125,0.20048275589942932,1.0,0.7791752498152554,0.814865897967368,0.933087708539682,0.6549787648327738,0.0937397028532628,0.4369266268816525,0.29241427009392146
5,3817,MLP,persistent_shift,shift_adaptation_350,0.984375,0.15109826624393463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3817,ChevronSlow,persistent_shift,shift_adaptation_350,0.984375,0.13824419677257538,1.0,0.8895438481310325,0.6872516638516506,0.9329499454048679,0.34026470483157134,0.16170841101737501,0.32346519986313205,0.17786357511036344
5,3817,IDLGated,persistent_shift,shift_adaptation_350,0.9375,0.15579259395599365,1.0,0.8129493966676875,0.8105321343084306,0.9282821760648023,0.6551367354646087,0.09312462804524488,0.43734720403590827,0.2930719737598636
5,3818,MLP,persistent_shift,shift_adaptation_350,0.9375,0.1873815357685089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3818,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.16813048720359802,1.0,0.8511722657212885,0.6864648763474379,0.9296788382175247,0.34077561239246107,0.16134563399282162,0.3236342031905904,0.17834884726317615
5,3818,IDLGated,persistent_shift,shift_adaptation_350,0.953125,0.20892278850078583,1.0,0.8237684610664853,0.8061982473161605,0.9241016274648696,0.6553053671902106,0.09243666324020294,0.43777157782290543,0.29372331353706294
5,3819,MLP,persistent_shift,shift_adaptation_350,0.9375,0.29311713576316833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3819,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.27336668968200684,1.0,0.8886173431000517,0.6856668607309757,0.9280363784128258,0.3413234541231686,0.16092336567382667,0.32380724244912895,0.1788289005396408
5,3819,IDLGated,persistent_shift,shift_adaptation_350,0.921875,0.2873327136039734,1.0,0.738583581435979,0.8018389994193853,0.916680905623714,0.6553886454044564,0.0917836456328686,0.4381996372937736,0.2944038317783113
5,3820,MLP,persistent_shift,shift_adaptation_350,0.921875,0.2930901050567627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3820,ChevronSlow,persistent_shift,shift_adaptation_350,0.9375,0.24047905206680298,1.0,0.8765012682855075,0.6848544565816912,0.9259749740077331,0.34185863193733096,0.16052699971193504,0.3239705769813866,0.17927776110578145
5,3820,IDLGated,persistent_shift,shift_adaptation_350,0.890625,0.28233247995376587,1.0,0.7367633976139449,0.7974564009052035,0.9094842053033232,0.6554700201566659,0.09119386235656708,0.4386205909646929,0.2951058434279993
5,3821,MLP,persistent_shift,shift_adaptation_350,0.921875,0.23125261068344116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3821,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.19715169072151184,1.0,0.9709718496602573,0.684057917760068,0.927774849033834,0.3424877451550539,0.16012441466430524,0.324129861191202,0.17972429779287757
5,3821,IDLGated,persistent_shift,shift_adaptation_350,0.890625,0.2415320873260498,1.0,0.884473039722305,0.7930990275819927,0.9084837586800825,0.6556990231762315,0.09059679648142438,0.43905572583289004,0.29580184104224444
