seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
1,2603,IDLGated,stable,other,1.0,0.04533328115940094,0.008249877952039242,0.27412324972874,0.31053635095111526,0.09836803529918939,0.28387027450564384,0.0
1,2604,MLP,stable,other,1.0,0.04644179716706276,1.0,0.0,0.0,0.0,0.0,0.0
1,2604,ChevronSlow,stable,other,1.0,0.04753829538822174,1.0,0.06627861970529053,0.19277187873747922,0.01966091771201237,0.2604577388327844,0.0
1,2604,IDLGated,stable,other,1.0,0.04925181716680527,0.008280780166387558,0.3733679002213046,0.3107248455989258,0.09839009686069237,0.28387367740801084,0.0
1,2605,MLP,stable,other,0.953125,0.17741090059280396,1.0,0.0,0.0,0.0,0.0,0.0
1,2605,ChevronSlow,stable,other,0.953125,0.1719246208667755,1.0,0.09556742599258143,0.19248026537924454,0.019757531585724814,0.26050799730820035,0.0
1,2605,IDLGated,stable,other,0.9375,0.17712879180908203,0.008271886967122555,0.29267183201123076,0.3106706865581627,0.0984058933068118,0.28387713810824083,0.0
1,2606,MLP,stable,other,0.953125,0.16422000527381897,1.0,0.0,0.0,0.0,0.0,0.0
1,2606,ChevronSlow,stable,other,0.953125,0.15742987394332886,1.0,0.08793784879337495,0.19216663812948695,0.019836890157634502,0.26055044261876165,0.0
1,2606,IDLGated,stable,other,0.953125,0.1709561049938202,0.008290242403745651,0.34791918778662595,0.31078243206184814,0.09843304100083429,0.28388056020765096,0.0
1,2607,MLP,stable,other,0.984375,0.09534092992544174,1.0,0.0,0.0,0.0,0.0,0.0
1,2607,ChevronSlow,stable,other,0.984375,0.0897652730345726,1.0,0.09867416892024128,0.1918861607218592,0.019855748099311926,0.26060356041479793,0.0
1,2607,IDLGated,stable,other,0.984375,0.10047248750925064,0.008314103819429874,0.35908230462264534,0.31092733167953057,0.09852116118783956,0.2838841750565906,0.0
1,2608,MLP,stable,other,0.984375,0.10527616739273071,1.0,0.0,0.0,0.0,0.0,0.0
1,2608,ChevronSlow,stable,other,0.984375,0.10227257013320923,1.0,0.1260828332797207,0.1916887507395328,0.019890828811146184,0.2606592395132452,0.0
1,2608,IDLGated,stable,other,0.984375,0.0937722846865654,0.008344553411006927,0.37237239442607106,0.3111116668677702,0.09865837915145763,0.2838877994989139,0.0
1,2609,MLP,stable,other,0.984375,0.0966661348938942,1.0,0.0,0.0,0.0,0.0,0.0
1,2609,ChevronSlow,stable,other,0.984375,0.08682501316070557,1.0,0.07853992621042415,0.19134930426594546,0.019949342832027324,0.2607150011863289,0.0
1,2609,IDLGated,stable,other,0.984375,0.08619306236505508,0.00835907831788063,0.34034291886237455,0.311199360623754,0.09878916372330916,0.28389152028784426,0.0
1,2610,MLP,stable,other,0.921875,0.3170514702796936,1.0,0.0,0.0,0.0,0.0,0.0
1,2610,ChevronSlow,stable,other,0.921875,0.35239431262016296,1.0,0.10408549477851839,0.19108751283748318,0.020014243344113357,0.26078034221712587,0.0
1,2610,IDLGated,stable,other,0.921875,0.32616621255874634,0.008378730155527592,0.35066386637438035,0.3113177541410058,0.09892855483777299,0.28389524102800917,0.0
1,2611,MLP,stable,other,0.96875,0.15921762585639954,1.0,0.0,0.0,0.0,0.0,0.0
1,2611,ChevronSlow,stable,other,0.96875,0.16794021427631378,1.0,0.0850650819220643,0.19076944554473693,0.020029281002532234,0.26085142633305053,0.0
1,2611,IDLGated,stable,other,0.96875,0.1543552428483963,0.00840065162628889,0.3552358441967035,0.3114495084111729,0.09909909309771144,0.28389912558293673,0.0
1,2612,MLP,stable,other,0.953125,0.20105169713497162,1.0,0.0,0.0,0.0,0.0,0.0
1,2612,ChevronSlow,stable,other,0.9375,0.19928868114948273,1.0,0.13531822736180782,0.19060309189018815,0.01998824596325146,0.26089992028912556,0.0
1,2612,IDLGated,stable,other,0.9375,0.20586714148521423,0.00844081211835146,0.39160888480599193,0.3116899865403574,0.09926062697723165,0.2839029715291254,0.0
1,2613,MLP,stable,other,0.96875,0.12216970324516296,1.0,0.0,0.0,0.0,0.0,0.0
1,2613,ChevronSlow,stable,other,0.96875,0.11495589464902878,1.0,0.10760923862110651,0.19035411033038088,0.01992742490282421,0.26095546274884307,0.0
1,2613,IDLGated,stable,other,0.96875,0.11104927957057953,0.008467232808470726,0.3642243872627583,0.31184758974252463,0.09947052527960784,0.2839071162248353,0.0
1,2614,MLP,stable,other,1.0,0.05442817136645317,1.0,0.0,0.0,0.0,0.0,0.0
1,2614,ChevronSlow,stable,other,1.0,0.05354384332895279,1.0,0.1014528823552322,0.19008740664645543,0.01984610268999294,0.26102259922636434,0.0
1,2614,IDLGated,stable,other,1.0,0.052795734256505966,0.008489874191582203,0.3567345785046094,0.31198225070881086,0.09968749999450982,0.2839116560430263,0.0
1,2615,MLP,stable,other,0.9375,0.1897171139717102,1.0,0.0,0.0,0.0,0.0,0.0
1,2615,ChevronSlow,stable,other,0.9375,0.20016297698020935,1.0,0.10770538800098223,0.189840260590519,0.019722920533291735,0.26109801935249183,0.0
1,2615,IDLGated,stable,other,0.9375,0.20072653889656067,0.008519081398844719,0.3697122984857303,0.31215544085214164,0.09989834699128247,0.2839162921730956,0.0
1,2616,MLP,stable,other,0.953125,0.21605534851551056,1.0,0.0,0.0,0.0,0.0,0.0
1,2616,ChevronSlow,stable,other,0.953125,0.21288613975048065,1.0,0.07690123718469995,0.18950144352030154,0.019567868509854595,0.26117633049950906,0.0
1,2616,IDLGated,stable,other,0.953125,0.2037312388420105,0.008543793112039566,0.36084903257944534,0.31230152162732355,0.10008472605132564,0.2839208318445657,0.0
1,2617,MLP,stable,other,0.984375,0.047485269606113434,1.0,0.0,0.0,0.0,0.0,0.0
1,2617,ChevronSlow,stable,other,0.984375,0.04433156177401543,1.0,0.093289005828769,0.18921280620722694,0.019443510824153836,0.2612605676213664,0.0
1,2617,IDLGated,stable,other,0.984375,0.04503370821475983,0.008565515279769897,0.35498309934313194,0.312429566360471,0.10026263238738871,0.28392552565360357,0.0
1,2618,MLP,stable,other,0.984375,0.110399529337883,1.0,0.0,0.0,0.0,0.0,0.0
1,2618,ChevronSlow,stable,other,0.984375,0.12642978131771088,1.0,0.0607704499316699,0.18882747913840028,0.01933430419240066,0.2613531855788784,0.0
1,2618,IDLGated,stable,other,0.984375,0.1258513331413269,0.008560980670154095,0.30353038431492135,0.3124028688143343,0.1004408979203988,0.28393031576475486,0.0
1,2619,MLP,stable,other,1.0,0.03010457195341587,1.0,0.0,0.0,0.0,0.0,0.0
1,2619,ChevronSlow,stable,other,1.0,0.027932297438383102,1.0,0.06402937907091485,0.18845308483819784,0.019244114153008304,0.26144189796584283,0.0
1,2619,IDLGated,stable,other,1.0,0.029687892645597458,0.008609363809227943,0.4071417642514673,0.3126870855006457,0.10068091539618068,0.28393502869263065,0.0
1,2620,MLP,stable,other,0.9375,0.18796998262405396,1.0,0.0,0.0,0.0,0.0,0.0
1,2620,ChevronSlow,stable,other,0.9375,0.1914265900850296,1.0,0.0731582679015579,0.18810720038738793,0.019183182784350886,0.26150457729979637,0.0
1,2620,IDLGated,stable,other,0.9375,0.20142734050750732,0.008640141226351261,0.37268495817796143,0.31286707911867767,0.10089798244990462,0.28393946205031073,0.0
1,2621,MLP,stable,other,1.0,0.0411820150911808,1.0,0.0,0.0,0.0,0.0,0.0
1,2621,ChevronSlow,stable,other,1.0,0.039297763258218765,1.0,0.05067733481941373,0.187694910790684,0.019159387559220246,0.26156961647294896,0.0
1,2621,IDLGated,stable,other,1.0,0.038634803146123886,0.008646094240248203,0.3244403005060998,0.31290179878283997,0.10113540333255829,0.2839439917138379,0.0
1,2622,MLP,stable,other,0.96875,0.17663079500198364,1.0,0.0,0.0,0.0,0.0,0.0
1,2622,ChevronSlow,stable,other,0.96875,0.1568140983581543,1.0,0.08445461340491478,0.1873851898985267,0.019142426947206657,0.26164061166262254,0.0
1,2622,IDLGated,stable,other,0.96875,0.15907245874404907,0.008692150935530663,0.40222729467701296,0.31316977527052253,0.10135751449578743,0.2839486176786033,0.0
1,2623,MLP,stable,other,1.0,0.0783008337020874,1.0,0.0,0.0,0.0,0.0,0.0
1,2623,ChevronSlow,stable,other,1.0,0.0749368667602539,1.0,0.0648951471420027,0.18701771977025713,0.019133523674703758,0.26170607711185945,0.0
1,2623,IDLGated,stable,other,1.0,0.07255177199840546,0.008699138648808002,0.32667341326172206,0.31321028618449615,0.10155492842148238,0.28395307009851317,0.0
1,2624,MLP,stable,other,1.0,0.027814192697405815,1.0,0.0,0.0,0.0,0.0,0.0
1,2624,ChevronSlow,stable,other,1.0,0.02718801610171795,1.0,0.05457583541788189,0.18662039411720002,0.019105457402023476,0.2617721743249512,0.0
1,2624,IDLGated,stable,other,1.0,0.026591498404741287,0.008710116147994995,0.33442067689354993,0.3132739173566233,0.1017068549151992,0.28395756099679054,0.0
1,2625,MLP,stable,other,0.984375,0.0817628875374794,1.0,0.0,0.0,0.0,0.0,0.0
1,2625,ChevronSlow,stable,other,0.984375,0.08646028488874435,1.0,0.04984717958622419,0.1862100744736071,0.019083640120624856,0.2618385161314702,0.0
1,2625,IDLGated,stable,other,0.984375,0.08685511350631714,0.008718234486877918,0.3289370050223218,0.3133209066196204,0.10183781901155536,0.2839620421871514,0.0
1,2626,MLP,stable,other,0.96875,0.11960397660732269,1.0,0.0,0.0,0.0,0.0,0.0
1,2626,ChevronSlow,stable,other,0.96875,0.11184116452932358,1.0,0.05578732982168058,0.18581880623965133,0.01905979801733881,0.26189262655670015,0.0
1,2626,IDLGated,stable,other,0.96875,0.13034887611865997,0.008739698678255081,0.3546580050234044,0.31344491791483176,0.10195409515901815,0.2839664462128622,0.0
1,2627,MLP,stable,other,0.96875,0.11284865438938141,1.0,0.0,0.0,0.0,0.0,0.0
1,2627,ChevronSlow,stable,other,0.96875,0.11686137318611145,1.0,0.05594625452939483,0.18542918858452057,0.01895576654337964,0.2619476973572673,0.0
1,2627,IDLGated,stable,other,0.984375,0.11415136605501175,0.008766002021729946,0.3639754629521023,0.31359650954994356,0.10210081451977393,0.28397090798982777,0.0
1,2628,MLP,stable,other,0.984375,0.11695043742656708,1.0,0.0,0.0,0.0,0.0,0.0
1,2628,ChevronSlow,stable,other,0.96875,0.11429247260093689,1.0,0.07148433780332805,0.18508735403217697,0.018860660590022997,0.2620105167986983,0.0
1,2628,IDLGated,stable,other,0.96875,0.12660351395606995,0.008797339163720608,0.3735968230928688,0.3137765104905723,0.10223557677438697,0.2839754564246391,0.0
1,2629,MLP,stable,other,0.984375,0.14891204237937927,1.0,0.0,0.0,0.0,0.0,0.0
1,2629,ChevronSlow,stable,other,0.96875,0.13485237956047058,1.0,0.06477446884191604,0.1847264153766062,0.018787226853427402,0.2620814656431659,0.0
1,2629,IDLGated,stable,other,0.96875,0.14983750879764557,0.008817187510430813,0.3516725452341319,0.313890198594803,0.10239622155594937,0.2839801589670841,0.0
1,2630,MLP,stable,other,1.0,0.023117367178201675,1.0,0.0,0.0,0.0,0.0,0.0
1,2630,ChevronSlow,stable,other,1.0,0.020461712032556534,1.0,0.06853679435567485,0.1843778465135434,0.01873306867270933,0.2621542951097049,0.0
1,2630,IDLGated,stable,other,1.0,0.022366024553775787,0.008836844936013222,0.35133760269565134,0.31400254080710555,0.10256183108515993,0.283984948156709,0.0
1,2631,MLP,stable,other,0.96875,0.18134018778800964,1.0,0.0,0.0,0.0,0.0,0.0
1,2631,ChevronSlow,stable,other,0.96875,0.1751435399055481,1.0,0.08339053313375532,0.18407488457340404,0.018693586824190558,0.262215927523995,0.0
1,2631,IDLGated,stable,other,0.953125,0.18367181718349457,0.008874429389834404,0.38536726629421814,0.3142166349835669,0.10271299090839411,0.28398978544532844,0.0
1,2632,MLP,stable,other,0.984375,0.10395166277885437,1.0,0.0,0.0,0.0,0.0,0.0
