seed,t,model,phase,window,y,pred,correct,loss,rho,diff,persistence
6,2825,IDLGated,post_shift,post_shift_200_800,0,0.7350951642452827,0,1.3283846278510383,0.9828099984841283,0.09288362562161873,0.2989130866584068
6,2826,MLP,post_shift,post_shift_200_800,1,0.6179440543511016,1,0.4813573525622221,1.0,0.0,0.0
6,2826,ChevronSlow,post_shift,post_shift_200_800,1,0.6658535566200948,1,0.40668551757480154,1.0,0.6243617933951225,0.8646128104846958
6,2826,IDLGated,post_shift,post_shift_200_800,1,0.6720607372769373,1,0.3974065596906862,0.9809689888692879,0.11051877287531225,0.29420322881382943
6,2827,MLP,post_shift,post_shift_200_800,1,0.716454682534221,1,0.3334402820962799,1.0,0.0,0.0
6,2827,ChevronSlow,post_shift,post_shift_200_800,1,0.7446082326173334,1,0.29489706117523945,1.0,0.29659113162521306,0.8504122685132087
6,2827,IDLGated,post_shift,post_shift_200_800,1,0.7636687910817321,1,0.2696211033389024,0.9789624875788091,0.10823075765852791,0.2895539170349469
6,2828,MLP,post_shift,post_shift_200_800,1,0.7724584921252116,1,0.2581770035305943,1.0,0.0,0.0
6,2828,ChevronSlow,post_shift,post_shift_200_800,1,0.8054089888365212,1,0.21640506991621025,1.0,0.4288757424813152,0.8398738553624114
6,2828,IDLGated,post_shift,post_shift_200_800,1,0.8315601255350384,1,0.18445167323993902,0.9775600857858918,0.16961269210721966,0.28655538641175365
6,2829,MLP,post_shift,post_shift_200_800,0,0.49281978392619646,1,0.6788888827835178,1.0,0.0,0.0
6,2829,ChevronSlow,post_shift,post_shift_200_800,0,0.4957381554722971,1,0.6846596130281436,1.0,0.9429358749403447,0.8424504058518597
6,2829,IDLGated,post_shift,post_shift_200_800,0,0.4117779256380546,1,0.530650724899398,0.9767286412017107,0.2188590175213105,0.2848629771894926
6,2830,MLP,post_shift,post_shift_200_800,1,0.8310054908966756,1,0.1851188765712918,1.0,0.0,0.0
6,2830,ChevronSlow,post_shift,post_shift_200_800,1,0.8491813410679719,1,0.16348252175904343,1.0,1.0306667200756991,0.8471558137074557
6,2830,IDLGated,post_shift,post_shift_200_800,1,0.882678593489249,1,0.12479413842340388,0.9767740281044776,0.28849698580862343,0.2849538274049709
6,2831,MLP,post_shift,post_shift_200_800,1,0.8621386634690942,1,0.14833915876227874,1.0,0.0,0.0
6,2831,ChevronSlow,post_shift,post_shift_200_800,1,0.8633872654544121,1,0.1468919452694947,1.0,1.5494593871085984,0.8647134030424842
6,2831,IDLGated,post_shift,post_shift_200_800,1,0.9007712741021779,1,0.10450391142337236,0.9779617123062612,0.38259933098331583,0.2873949649944295
6,2832,MLP,post_shift,post_shift_200_800,1,0.6196481178550941,1,0.4786035139081365,1.0,0.0,0.0
6,2832,ChevronSlow,post_shift,post_shift_200_800,1,0.5675750984104347,1,0.5663822063809201,1.0,0.34116409734654407,0.8516246704000857
6,2832,IDLGated,post_shift,post_shift_200_800,1,0.5147273705047017,1,0.6641178961489987,0.9746930331903046,0.029856106805769188,0.280956493539713
6,2833,MLP,post_shift,post_shift_200_800,1,0.869151104609713,1,0.14023828550736675,1.0,0.0,0.0
